"data_set"	"start"	"end"
"123"	"H1"	4604160	4604837
"124"	"H1"	4173082	4174047
"125"	"H1"	4360396	4361934
"126"	"H1"	36271	37824
"127"	"H1"	35377	36162
"128"	"H1"	34300	34695
"129"	"H1"	30817	34038
"130"	"H1"	2059964	2060914
"131"	"H1"	1062855	1063775
"132"	"H1"	1270749	1271849
"133"	"H1"	1819455	1819805
"134"	"H1"	1821299	1821619
"135"	"H1"	1817148	1818500
"136"	"H1"	1818605	1819447
"137"	"H1"	652235	653893
"138"	"H1"	3078887	3079330
"139"	"H1"	4174076	4175026
"140"	"H1"	1179631	1180359
"141"	"H1"	1104447	1104902
"142"	"H1"	1103951	1104406
"143"	"H1"	1104961	1105293
"144"	"H1"	1102546	1103196
"145"	"H1"	1102152	1102541
"146"	"H1"	1100851	1101684
"147"	"H1"	1907226	1907435
"148"	"H1"	1051461	1051673
"149"	"H1"	1050963	1051175
"150"	"H1"	597479	598702
"151"	"H1"	597131	597463
"152"	"H1"	1958520	1959266
"153"	"H1"	450663	451610
"154"	"H1"	1333855	1334829
"155"	"H1"	3497828	3499201
"156"	"H1"	2887578	2888312
"157"	"H1"	1625335	1627380
"158"	"H1"	4347404	4348744
"159"	"H1"	4349315	4350034
"160"	"H1"	399829	400923
"161"	"H1"	179237	180754
"162"	"H1"	250898	251953
"163"	"H1"	1121242	1121487
"164"	"H1"	848408	848911
"165"	"H1"	4043418	4044044
"166"	"H1"	637827	638573
"167"	"H1"	2024635	2024823
"168"	"H1"	1620238	1621137
"169"	"H1"	3222633	3225725
"170"	"H1"	3225722	3226171
"171"	"H1"	2303905	2304393
"172"	"H1"	305174	306817
"173"	"H1"	2381082	2381543
"174"	"H1"	2482176	2483339
"175"	"H1"	614157	618038
"176"	"H1"	2574978	2575457
"177"	"H1"	2483755	2484369
"178"	"H1"	2484374	2487967
"179"	"H1"	2461306	2462646
"180"	"H1"	4086016	4086849
"181"	"H1"	546680	548347
"182"	"H1"	3540163	3540390
"183"	"H1"	3540407	3542728
"184"	"H1"	618254	619387
"185"	"H1"	4604875	4605663
"186"	"H1"	42403	43173
"187"	"H1"	1977847	1978197
"188"	"H1"	1962580	1962972
"189"	"H1"	2022893	2023678
"190"	"H1"	953609	954466
"191"	"H1"	157253	157732
"192"	"H1"	2492004	2493254
"193"	"H1"	2259719	2261410
"194"	"H1"	2933041	2933688
"195"	"H1"	2934235	2935551
"196"	"H1"	4368664	4369140
"197"	"H1"	3658366	3658893
"198"	"H1"	3663890	3664618
"199"	"H1"	3664986	3665810
"200"	"H1"	1291457	1292365
"201"	"H1"	3275282	3276853
"202"	"H1"	3273573	3274907
"203"	"H1"	2174597	2175049
"204"	"H1"	2174282	2174566
"205"	"H1"	2171833	2172873
"206"	"H1"	3585081	3586823
"207"	"H1"	3191739	3191939
"208"	"H1"	706093	707757
"209"	"H1"	234027	234782
"210"	"H1"	2349935	2351011
"211"	"H1"	541888	543033
"212"	"H1"	536586	537464
"213"	"H1"	1344757	1346742
"214"	"H1"	2099862	2101268
"215"	"H1"	3136663	3138522
"216"	"H1"	2035835	2036686
"217"	"H1"	3656408	3656740
"218"	"H1"	3655966	3656292
"219"	"H1"	3656995	3657567
"220"	"H1"	1697273	1698040
"221"	"H1"	480090	480308
"222"	"H1"	1292509	1292922
"223"	"H1"	535710	536486
"224"	"H1"	85630	87354
"225"	"H1"	3283143	3284003
"226"	"H1"	2983288	2984124
"227"	"H1"	81958	83529
"228"	"H1"	84368	85312
"229"	"H1"	661637	662278
"230"	"H1"	3596451	3597560
"231"	"H1"	1757421	1757657
"232"	"H1"	2405703	2406641
"233"	"H1"	4231884	4233233
"234"	"H1"	479367	479918
"235"	"H1"	1698152	1699180
"236"	"H1"	3172530	3173111
"237"	"H1"	3659232	3660389
"238"	"H1"	1672820	1673149
"239"	"H1"	1673136	1673501
"240"	"H1"	4132616	4133506
"241"	"H1"	2239350	2240348
"242"	"H1"	4467625	4470321
"243"	"H1"	1225385	1226080
"244"	"H1"	1224279	1224545
"245"	"H1"	1393227	1394840
"246"	"H1"	3438024	3438434
"247"	"H1"	2857093	2859654
"248"	"H1"	17489	18655
"249"	"H1"	3839175	3839993
"250"	"H1"	1792267	1792731
"251"	"H1"	2803502	2804461
"252"	"H1"	2311646	2312749
"253"	"H1"	1381947	1382852
"254"	"H1"	1435760	1436893
"255"	"H1"	1314020	1314658
"256"	"H1"	1301182	1302813
"257"	"H1"	1302899	1303819
"258"	"H1"	1343110	1343328
"259"	"H1"	1556625	1557056
"260"	"H1"	1980188	1981612
"261"	"H1"	2490256	2491950
"262"	"H1"	1806370	1807299
"263"	"H1"	4233758	4235407
"264"	"H1"	401747	403162
"265"	"H1"	259045	260100
"266"	"H1"	1084992	1086056
"267"	"H1"	3906853	3907578
"268"	"H1"	1851887	1852528
"269"	"H1"	1181783	1182829
"270"	"H1"	2859760	2860416
"271"	"H1"	1572407	1575202
"272"	"H1"	260388	261491
"273"	"H1"	2804815	2806017
"274"	"H1"	346857	348443
"275"	"H1"	1369689	1370003
"276"	"H1"	1755698	1757110
"277"	"H1"	1004768	1005778
"278"	"H1"	3170484	3171833
"279"	"H1"	4003288	4004178
"280"	"H1"	2023968	2024591
"281"	"H1"	409108	410019
"282"	"H1"	849210	850097
"283"	"H1"	3183813	3184466
"284"	"H1"	683477	684412
"285"	"H1"	2254245	2255186
"286"	"H1"	4409275	4410006
"287"	"H1"	1705767	1706348
"288"	"H1"	1945365	1945976
"289"	"H1"	1946855	1947376
"290"	"H1"	2232878	2233597
"291"	"H1"	1996110	1996832
"292"	"H1"	3758017	3759861
"293"	"H1"	2053643	2054959
"294"	"H1"	2456327	2456812
"295"	"H1"	3653961	3654527
"296"	"H1"	1720390	1720824
"297"	"H1"	1119468	1120586
"298"	"H1"	4277060	4277383
"299"	"H1"	3083935	3085911
"300"	"H1"	1656184	1656744
"301"	"H1"	1825140	1825625
"302"	"H1"	2652494	2653339
"303"	"H1"	2798091	2798495
"304"	"H1"	3266127	3267065
"305"	"H1"	3265039	3266028
"306"	"H1"	3263686	3265017
"307"	"H1"	3790320	3791345
"308"	"H1"	1293527	1294144
"309"	"H1"	1501562	1502155
"310"	"H1"	1800642	1802570
"311"	"H1"	3888730	3890145
"312"	"H1"	1331048	1333645
"313"	"H1"	1957032	1958132
"314"	"H1"	1245679	1247376
"315"	"H1"	3669592	3671241
"316"	"H1"	3436518	3437894
"317"	"H1"	3206463	3207374
"318"	"H1"	4267114	4268307
"319"	"H1"	1692890	1694263
"320"	"H1"	1691586	1692851
"321"	"H1"	4419980	4421377
"322"	"H1"	1435185	1435619
"323"	"H1"	1994703	1995359
"324"	"H1"	4554576	4555349
"325"	"H1"	4480982	4483837
"326"	"H1"	2129661	2130878
"327"	"H1"	2128904	2129650
"328"	"H1"	2128340	2128888
"329"	"H1"	1067112	1067708
"330"	"H1"	2136104	2137243
"331"	"H1"	3731131	3732123
"332"	"H1"	3732201	3733742
"333"	"H1"	151003	151599
"334"	"H1"	156299	156883
"335"	"H1"	252709	253161
"336"	"H1"	332371	333459
"337"	"H1"	334525	335022
"338"	"H1"	335280	335885
"339"	"H1"	335925	336788
"340"	"H1"	342884	343933
"341"	"H1"	345666	346337
"342"	"H1"	346484	346759
"343"	"H1"	408177	408461
"344"	"H1"	394506	395129
"345"	"H1"	537633	539087
"346"	"H1"	540565	541866
"347"	"H1"	587091	587981
"348"	"H1"	603416	604663
"349"	"H1"	634747	635376
"350"	"H1"	636716	637618
"351"	"H1"	799622	800575
"352"	"H1"	803503	805764
"353"	"H1"	819884	820588
"354"	"H1"	820793	821506
"355"	"H1"	916473	918131
"356"	"H1"	888134	889819
"357"	"H1"	890089	890466
"358"	"H1"	1052289	1053362
"359"	"H1"	1116807	1117859
"360"	"H1"	1117901	1118476
"361"	"H1"	1118480	1119046
"362"	"H1"	1226600	1226968
"363"	"H1"	1227714	1228007
"364"	"H1"	1228815	1229276
"365"	"H1"	1298598	1299245
"366"	"H1"	1342658	1342984
"367"	"H1"	1310569	1310865
"368"	"H1"	1343597	1344346
"369"	"H1"	1382963	1383961
"370"	"H1"	1406563	1407795
"371"	"H1"	1445880	1446206
"372"	"H1"	1502457	1503125
"373"	"H1"	1511654	1512799
"374"	"H1"	1517389	1517562
"375"	"H1"	1546288	1547169
"376"	"H1"	1533282	1533851
"377"	"H1"	1567504	1568823
"378"	"H1"	1579633	1580790
"379"	"H1"	1580842	1582524
"380"	"H1"	1582926	1583687
"381"	"H1"	1584207	1586486
"382"	"H1"	1586820	1587734
"383"	"H1"	1629453	1630913
"384"	"H1"	1703268	1704308
"385"	"H1"	1705250	1705690
"386"	"H1"	1751728	1753830
"387"	"H1"	1753851	1754477
"388"	"H1"	1754932	1755141
"389"	"H1"	1773789	1774655
"390"	"H1"	1775587	1777182
"391"	"H1"	1769074	1770186
"392"	"H1"	1770615	1770971
"393"	"H1"	1771071	1772285
"394"	"H1"	1772512	1773777
"395"	"H1"	1777196	1778347
"396"	"H1"	1778390	1779301
"397"	"H1"	1779617	1780381
"398"	"H1"	1789808	1791244
"399"	"H1"	1854096	1854854
"400"	"H1"	1855981	1856928
"401"	"H1"	1856933	1857769
"402"	"H1"	1858850	1860229
"403"	"H1"	1868955	1870238
"404"	"H1"	1870385	1871860
"405"	"H1"	1872041	1873531
"406"	"H1"	1873574	1874077
"407"	"H1"	1877715	1878740
"408"	"H1"	1879007	1879255
"409"	"H1"	1879589	1879948
"410"	"H1"	1946251	1946853
"411"	"H1"	1908261	1908548
"412"	"H1"	1997062	1997814
"413"	"H1"	1989251	1989490
"414"	"H1"	1988222	1988545
"415"	"H1"	2038152	2038823
"416"	"H1"	2039478	2040482
"417"	"H1"	2040483	2041118
"418"	"H1"	2056858	2057574
"419"	"H1"	2137902	2139485
"420"	"H1"	2151711	2152472
"421"	"H1"	2165668	2167029
"422"	"H1"	2167989	2168306
"423"	"H1"	2168712	2169611
"424"	"H1"	2187380	2188414
"425"	"H1"	2191680	2192222
"426"	"H1"	2204596	2205684
"427"	"H1"	2255355	2256014
"428"	"H1"	2267829	2268815
"429"	"H1"	2233600	2233839
"430"	"H1"	2340417	2344169
"431"	"H1"	2363733	2364275
"432"	"H1"	2386934	2387437
"433"	"H1"	2455083	2455646
"434"	"H1"	2465301	2466233
"435"	"H1"	2495050	2495292
"436"	"H1"	2591247	2591603
"437"	"H1"	2626695	2628938
"438"	"H1"	2629792	2630310
"439"	"H1"	2635599	2635814
"440"	"H1"	2699663	2699923
"441"	"H1"	2742383	2743609
"442"	"H1"	2741875	2742393
"443"	"H1"	2799650	2799994
"444"	"H1"	2797520	2798044
"445"	"H1"	2797211	2797510
"446"	"H1"	2901896	2903374
"447"	"H1"	2905711	2906583
"448"	"H1"	2897964	2899418
"449"	"H1"	2899488	2900273
"450"	"H1"	3004008	3005786
"451"	"H1"	3006262	3007452
"452"	"H1"	3016060	3019158
"453"	"H1"	3098558	3099565
"454"	"H1"	3097267	3098403
"455"	"H1"	3146450	3146737
"456"	"H1"	3226234	3227667
"457"	"H1"	3227801	3228871
"458"	"H1"	3252304	3252669
"459"	"H1"	3411653	3412537
"460"	"H1"	3412621	3412800
"461"	"H1"	3418390	3418611
"462"	"H1"	3499448	3499615
"463"	"H1"	3581138	3581626
"464"	"H1"	3655255	3655902
"465"	"H1"	3634841	3635893
"466"	"H1"	3636208	3637410
"467"	"H1"	3667791	3669188
"468"	"H1"	3671292	3671894
"469"	"H1"	3672414	3673313
"470"	"H1"	3695997	3696185
"471"	"H1"	3700563	3701834
"472"	"H1"	3727407	3727748
"473"	"H1"	3719478	3719768
"474"	"H1"	3756676	3757827
"475"	"H1"	3761347	3761955
"476"	"H1"	3770243	3771379
"477"	"H1"	3776665	3777027
"478"	"H1"	3788101	3789060
"479"	"H1"	3838248	3839171
"480"	"H1"	3840215	3840508
"481"	"H1"	3860283	3861176
"482"	"H1"	4044199	4045629
"483"	"H1"	4045670	4046602
"484"	"H1"	4077449	4078438
"485"	"H1"	4079297	4079509
"486"	"H1"	4112315	4112755
"487"	"H1"	4112967	4113266
"488"	"H1"	4231359	4231631
"489"	"H1"	4275471	4277057
"490"	"H1"	4351843	4352073
"491"	"H1"	4352085	4352357
"492"	"H1"	4383839	4385341
"493"	"H1"	4410133	4410534
"494"	"H1"	4410553	4411251
"495"	"H1"	4411302	4411961
"496"	"H1"	4411979	4412377
"497"	"H1"	4412387	4413025
"498"	"H1"	4479034	4479537
"499"	"H1"	4562743	4563603
"500"	"H1"	4602088	4602858
"501"	"H1"	4603477	4604202
"502"	"H1"	321608	322327
"503"	"H1"	323758	324453
"504"	"H1"	312514	312777
"505"	"H1"	872979	875327
"506"	"H1"	875335	876663
"507"	"H1"	1105820	1106353
"508"	"H1"	1394891	1395922
"509"	"H1"	1397365	1397622
"510"	"H1"	1445687	1445872
"511"	"H1"	1520963	1523065
"512"	"H1"	1656747	1657457
"513"	"H1"	1807796	1808656
"514"	"H1"	1893367	1893711
"515"	"H1"	1894133	1894432
"516"	"H1"	1904801	1905259
"517"	"H1"	2796870	2797028
"518"	"H1"	2900592	2901869
"519"	"H1"	3014287	3015057
"520"	"H1"	2984411	2985592
"521"	"H1"	2985847	2987076
"522"	"H1"	3184840	3185130
"523"	"H1"	3192208	3192837
"524"	"H1"	3251024	3252010
"525"	"H1"	4428079	4428717
"526"	"H2"	3413864	3415021
"527"	"H2"	485761	486408
"528"	"H2"	4335694	4337031
"529"	"H2"	4337168	4337929
"530"	"H2"	3284170	3284646
"531"	"H2"	3284685	3285488
"532"	"H2"	1065585	1066826
"533"	"H2"	2365018	2365620
"534"	"H2"	539147	540508
"535"	"H2"	544057	545292
"536"	"H2"	545314	546363
"537"	"H2"	2055061	2056515
"538"	"H2"	395130	396287
"539"	"H2"	4269414	4270127
"540"	"H2"	2980764	2982182
"541"	"H2"	411297	412481
"542"	"H2"	4477307	4478311
"543"	"H2"	1774686	1775444
"544"	"H2"	1671376	1671684
"545"	"H2"	1825955	1826923
"546"	"H2"	3922060	3922440
"547"	"H2"	2915057	2917813
"548"	"H2"	3696458	3698029
"549"	"H2"	1556065	1556280
"550"	"H2"	325577	327247
"551"	"H2"	3466797	3466991
"552"	"H2"	3466249	3466725
"553"	"H2"	4604160	4604837
"554"	"H2"	4173082	4174047
"555"	"H2"	4360396	4361934
"556"	"H2"	36271	37824
"557"	"H2"	35377	36162
"558"	"H2"	34300	34695
"559"	"H2"	1062855	1063775
"560"	"H2"	1270749	1271849
"561"	"H2"	1819455	1819805
"562"	"H2"	1821299	1821619
"563"	"H2"	1817148	1818500
"564"	"H2"	1818605	1819447
"565"	"H2"	652235	653893
"566"	"H2"	3078887	3079330
"567"	"H2"	4174076	4175026
"568"	"H2"	1179631	1180359
"569"	"H2"	1104447	1104902
"570"	"H2"	1103951	1104406
"571"	"H2"	1104961	1105293
"572"	"H2"	1102546	1103196
"573"	"H2"	1102152	1102541
"574"	"H2"	1100851	1101684
"575"	"H2"	1907226	1907435
"576"	"H2"	1051461	1051673
"577"	"H2"	1050963	1051175
"578"	"H2"	597479	598702
"579"	"H2"	597131	597463
"580"	"H2"	450663	451610
"581"	"H2"	1333855	1334829
"582"	"H2"	3497828	3499201
"583"	"H2"	2887578	2888312
"584"	"H2"	1625335	1627380
"585"	"H2"	4347404	4348744
"586"	"H2"	4349315	4350034
"587"	"H2"	399829	400923
"588"	"H2"	179237	180754
"589"	"H2"	1121242	1121487
"590"	"H2"	848408	848911
"591"	"H2"	4043418	4044044
"592"	"H2"	637827	638573
"593"	"H2"	2024635	2024823
"594"	"H2"	3225722	3226171
"595"	"H2"	2303905	2304393
"596"	"H2"	305174	306817
"597"	"H2"	2381082	2381543
"598"	"H2"	2482176	2483339
"599"	"H2"	2574978	2575457
"600"	"H2"	2483755	2484369
"601"	"H2"	2484374	2487967
"602"	"H2"	2461306	2462646
"603"	"H2"	4086016	4086849
"604"	"H2"	546680	548347
"605"	"H2"	3540163	3540390
"606"	"H2"	3540407	3542728
"607"	"H2"	618254	619387
"608"	"H2"	42403	43173
"609"	"H2"	1977847	1978197
"610"	"H2"	2022893	2023678
"611"	"H2"	953609	954466
"612"	"H2"	157253	157732
"613"	"H2"	2492004	2493254
"614"	"H2"	2933041	2933688
"615"	"H2"	2934235	2935551
"616"	"H2"	4368664	4369140
"617"	"H2"	3658366	3658893
"618"	"H2"	3663890	3664618
"619"	"H2"	3664986	3665810
"620"	"H2"	1291457	1292365
"621"	"H2"	3275282	3276853
"622"	"H2"	3273573	3274907
"623"	"H2"	2174597	2175049
"624"	"H2"	2174282	2174566
"625"	"H2"	2171833	2172873
"626"	"H2"	3191739	3191939
"627"	"H2"	234027	234782
"628"	"H2"	2349935	2351011
"629"	"H2"	541888	543033
"630"	"H2"	536586	537464
"631"	"H2"	2099862	2101268
"632"	"H2"	3136663	3138522
"633"	"H2"	2035835	2036686
"634"	"H2"	3656408	3656740
"635"	"H2"	3655966	3656292
"636"	"H2"	3656995	3657567
"637"	"H2"	1697273	1698040
"638"	"H2"	480090	480308
"639"	"H2"	1292509	1292922
"640"	"H2"	535710	536486
"641"	"H2"	85630	87354
"642"	"H2"	3283143	3284003
"643"	"H2"	2983288	2984124
"644"	"H2"	81958	83529
"645"	"H2"	84368	85312
"646"	"H2"	661637	662278
"647"	"H2"	3596451	3597560
"648"	"H2"	1757421	1757657
"649"	"H2"	2405703	2406641
"650"	"H2"	4231884	4233233
"651"	"H2"	479367	479918
"652"	"H2"	3172530	3173111
"653"	"H2"	3659232	3660389
"654"	"H2"	1672820	1673149
"655"	"H2"	1673136	1673501
"656"	"H2"	4132616	4133506
"657"	"H2"	2239350	2240348
"658"	"H2"	4467625	4470321
"659"	"H2"	1225385	1226080
"660"	"H2"	1224279	1224545
"661"	"H2"	1393227	1394840
"662"	"H2"	3438024	3438434
"663"	"H2"	17489	18655
"664"	"H2"	3839175	3839993
"665"	"H2"	1792267	1792731
"666"	"H2"	2803502	2804461
"667"	"H2"	2311646	2312749
"668"	"H2"	1381947	1382852
"669"	"H2"	1435760	1436893
"670"	"H2"	1314020	1314658
"671"	"H2"	1301182	1302813
"672"	"H2"	1302899	1303819
"673"	"H2"	1343110	1343328
"674"	"H2"	1556625	1557056
"675"	"H2"	1980188	1981612
"676"	"H2"	2490256	2491950
"677"	"H2"	1806370	1807299
"678"	"H2"	401747	403162
"679"	"H2"	259045	260100
"680"	"H2"	1084992	1086056
"681"	"H2"	3906853	3907578
"682"	"H2"	1181783	1182829
"683"	"H2"	2859760	2860416
"684"	"H2"	1572407	1575202
"685"	"H2"	260388	261491
"686"	"H2"	2804815	2806017
"687"	"H2"	1369689	1370003
"688"	"H2"	1004768	1005778
"689"	"H2"	3170484	3171833
"690"	"H2"	4003288	4004178
"691"	"H2"	2023968	2024591
"692"	"H2"	849210	850097
"693"	"H2"	3183813	3184466
"694"	"H2"	683477	684412
"695"	"H2"	2254245	2255186
"696"	"H2"	4409275	4410006
"697"	"H2"	1705767	1706348
"698"	"H2"	1945365	1945976
"699"	"H2"	1946855	1947376
"700"	"H2"	2232878	2233597
"701"	"H2"	1996110	1996832
"702"	"H2"	3758017	3759861
"703"	"H2"	2053643	2054959
"704"	"H2"	2456327	2456812
"705"	"H2"	3653961	3654527
"706"	"H2"	1720390	1720824
"707"	"H2"	1119468	1120586
"708"	"H2"	4277060	4277383
"709"	"H2"	1656184	1656744
"710"	"H2"	1825140	1825625
"711"	"H2"	2652494	2653339
"712"	"H2"	2798091	2798495
"713"	"H2"	3266127	3267065
"714"	"H2"	3265039	3266028
"715"	"H2"	3263686	3265017
"716"	"H2"	3790320	3791345
"717"	"H2"	1293527	1294144
"718"	"H2"	1501562	1502155
"719"	"H2"	1800642	1802570
"720"	"H2"	3888730	3890145
"721"	"H2"	1957032	1958132
"722"	"H2"	1245679	1247376
"723"	"H2"	3669592	3671241
"724"	"H2"	3206463	3207374
"725"	"H2"	4267114	4268307
"726"	"H2"	1692890	1694263
"727"	"H2"	1691586	1692851
"728"	"H2"	4419980	4421377
"729"	"H2"	1435185	1435619
"730"	"H2"	1994703	1995359
"731"	"H2"	4554576	4555349
"732"	"H2"	2129661	2130878
"733"	"H2"	2128904	2129650
"734"	"H2"	2128340	2128888
"735"	"H2"	1067112	1067708
"736"	"H2"	2136104	2137243
"737"	"H2"	3731131	3732123
"738"	"H2"	3732201	3733742
"739"	"H2"	151003	151599
"740"	"H2"	156299	156883
"741"	"H2"	252709	253161
"742"	"H2"	332371	333459
"743"	"H2"	334525	335022
"744"	"H2"	335280	335885
"745"	"H2"	335925	336788
"746"	"H2"	342884	343933
"747"	"H2"	345666	346337
"748"	"H2"	346484	346759
"749"	"H2"	408177	408461
"750"	"H2"	394506	395129
"751"	"H2"	537633	539087
"752"	"H2"	540565	541866
"753"	"H2"	587091	587981
"754"	"H2"	603416	604663
"755"	"H2"	634747	635376
"756"	"H2"	636716	637618
"757"	"H2"	799622	800575
"758"	"H2"	803503	805764
"759"	"H2"	819884	820588
"760"	"H2"	820793	821506
"761"	"H2"	916473	918131
"762"	"H2"	888134	889819
"763"	"H2"	890089	890466
"764"	"H2"	1052289	1053362
"765"	"H2"	1117901	1118476
"766"	"H2"	1118480	1119046
"767"	"H2"	1226600	1226968
"768"	"H2"	1227714	1228007
"769"	"H2"	1228815	1229276
"770"	"H2"	1298598	1299245
"771"	"H2"	1342658	1342984
"772"	"H2"	1310569	1310865
"773"	"H2"	1343597	1344346
"774"	"H2"	1382963	1383961
"775"	"H2"	1406563	1407795
"776"	"H2"	1445880	1446206
"777"	"H2"	1502457	1503125
"778"	"H2"	1511654	1512799
"779"	"H2"	1517389	1517562
"780"	"H2"	1546288	1547169
"781"	"H2"	1533282	1533851
"782"	"H2"	1567504	1568823
"783"	"H2"	1579633	1580790
"784"	"H2"	1580842	1582524
"785"	"H2"	1582926	1583687
"786"	"H2"	1584207	1586486
"787"	"H2"	1586820	1587734
"788"	"H2"	1629453	1630913
"789"	"H2"	1703268	1704308
"790"	"H2"	1705250	1705690
"791"	"H2"	1751728	1753830
"792"	"H2"	1753851	1754477
"793"	"H2"	1754932	1755141
"794"	"H2"	1773789	1774655
"795"	"H2"	1775587	1777182
"796"	"H2"	1770615	1770971
"797"	"H2"	1771071	1772285
"798"	"H2"	1772512	1773777
"799"	"H2"	1777196	1778347
"800"	"H2"	1778390	1779301
"801"	"H2"	1779617	1780381
"802"	"H2"	1789808	1791244
"803"	"H2"	1854096	1854854
"804"	"H2"	1855981	1856928
"805"	"H2"	1856933	1857769
"806"	"H2"	1858850	1860229
"807"	"H2"	1868955	1870238
"808"	"H2"	1870385	1871860
"809"	"H2"	1872041	1873531
"810"	"H2"	1873574	1874077
"811"	"H2"	1877715	1878740
"812"	"H2"	1879007	1879255
"813"	"H2"	1879589	1879948
"814"	"H2"	1946251	1946853
"815"	"H2"	1908261	1908548
"816"	"H2"	1997062	1997814
"817"	"H2"	1989251	1989490
"818"	"H2"	1988222	1988545
"819"	"H2"	2038152	2038823
"820"	"H2"	2039478	2040482
"821"	"H2"	2040483	2041118
"822"	"H2"	2056858	2057574
"823"	"H2"	2137902	2139485
"824"	"H2"	2167989	2168306
"825"	"H2"	2168712	2169611
"826"	"H2"	2187380	2188414
"827"	"H2"	2191680	2192222
"828"	"H2"	2204596	2205684
"829"	"H2"	2255355	2256014
"830"	"H2"	2233600	2233839
"831"	"H2"	2340417	2344169
"832"	"H2"	2363733	2364275
"833"	"H2"	2386934	2387437
"834"	"H2"	2455083	2455646
"835"	"H2"	2465301	2466233
"836"	"H2"	2495050	2495292
"837"	"H2"	2591247	2591603
"838"	"H2"	2626695	2628938
"839"	"H2"	2629792	2630310
"840"	"H2"	2699663	2699923
"841"	"H2"	2742383	2743609
"842"	"H2"	2741875	2742393
"843"	"H2"	2799650	2799994
"844"	"H2"	2797520	2798044
"845"	"H2"	2797211	2797510
